x,y,z,md,inc,azi,tvd,uwi
665406.3966,5815766.154,-2106.772321,5929,90.4,121.39,3182.972321,100023004004W502
665352.6457,5815804.74,-2107.336474,5862.7,90.55549334,133.5150266,3183.536474,100023004004W502
665292.1745,5815867.762,-2107.760869,5775.3,90.20009547,138.8799817,3183.960869,100023004004W502
665228.3117,5815927.516,-2108.08799,5687.8,90.11,134.145,3184.28799,100023004004W502
665152.2026,5815995.534,-2108.444465,5585.7,90.12,130.81,3184.644465,100023004004W502
665076.3709,5816064.516,-2108.430559,5483.1,89.98499984,137.7349999,3184.630559,100023004004W502
664992.3842,5816152.384,-2108.337865,5361.533333,89.98999753,140.3700001,3184.537865,100023004004W502
664929.4409,5816213.125,-2108.351503,5273.933333,89.88999604,132.1766675,3184.551503,100023004004W502
664875.7536,5816265.785,-2108.123563,5198.6,89.96501145,140.5950018,3184.323563,100023004004W502
664805.4909,5816336.854,-2107.9365,5098.633333,89.51664165,136.4666445,3184.1365,100023004004W502
664713.5644,5816423.6,-2107.53011,4972.2,90.15,134.3,3183.73011,100023004004W502
664626.5625,5816501.643,-2108.563742,4855.3,90.95,132.7,3184.763742,100023004004W502
664542.8739,5816580.879,-2110.086795,4740,90.12,136.19,3186.286795,100023004004W502
664465.3307,5816651.726,-2110.699337,4634.933333,90.5300304,133.1633305,3186.899337,100023004004W502
664405.3426,5816713.062,-2111.653037,4549.033333,90.54341858,141.6900203,3187.853037,100023004004W502
664339.9238,5816795.419,-2111.408065,4443.833333,90.33669056,145.2466755,3187.608065,100023004004W502
664289.1412,5816860.098,-2111.774642,4361.525,90.11256788,138.3674961,3187.974642,100023004004W502
664227.007,5816919.519,-2111.791305,4275.525,89.95751788,136.4225033,3187.991305,100023004004W502
664166.3188,5816969.879,-2111.943682,4196.6,89.85,131.69,3188.143682,100023004004W502
664107.1898,5817032.358,-2111.98874,4110.5,90.09,140.66,3188.18874,100023004004W502
664054.0508,5817100.064,-2112.880466,4024.4,90.71,143.03,3189.080466,100023004004W502
663992.1038,5817167.745,-2113.782829,3932.54,90.53470299,136.3400137,3189.982829,100023004004W502
663923.975,5817222.735,-2114.651197,3844.925,90.69307858,129.327587,3190.851197,100023004004W502
663864.9151,5817274.727,-2115.480028,3766.2,90.19,136.68,3191.680028,100023004004W502
663792.1121,5817350.537,-2116.160823,3661.033333,90.4100185,141.2166676,3192.360823,100023004004W502
663725.7101,5817419.128,-2116.680984,3565.5,90.37,136.28,3192.880984,100023004004W502
663655.6984,5817490.991,-2117.162949,3465.15,90.06508306,136.0350158,3193.362949,100023004004W502
663604.5074,5817541.176,-2116.167344,3393.4,85.66,137.53,3192.367344,100023004004W502
663565.0436,5817581.563,-2106.910348,3336.1,75.52,137.94,3183.110348,100023004004W502
663518.7726,5817629.654,-2081.095104,3264.4,62.74496796,137.5127392,3157.295104,100023004004W502
663473.1039,5817677.664,-2038.701132,3185.625,51.60273284,139.6339755,3114.901132,100023004004W502
663427.9919,5817732.24,-1971.071335,3087.633333,43.71292088,142.3217376,3047.271335,100023004004W502
663398.3672,5817767.542,-1913.317733,3013.625,33.29354834,140.6193724,2989.517733,100023004004W502
663372.3081,5817797.456,-1845.078911,2934.666667,28.69111674,143.3120841,2921.278911,100023004004W502
663350.6754,5817823.402,-1773.796434,2855.675,19.08682764,139.339828,2849.996434,100023004004W502
663333.6693,5817841.812,-1683.924274,2762.3,11.91,142.58,2760.124274,100023004004W502
663322.2,5817854.303,-1599.644078,2676.3,10.33,127.42,2675.844078,100023004004W502
663318.0015,5817857.574,-1549.062455,2625.4,2.792739025,128.7519905,2625.262455,100023004004W502
